Actor1Name,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
RED CROSS,CHN,GOV,,-4.32232268067044,202003,3,https://gizmodo.com/in-china-social-media-users-speak-in-code-to-avoid-cor-1842243943
WORLD HEALTH ORGANIZATION,ITA,GOV,,-5.88832487309644,202003,1,https://www.metro.us/news/the-big-stories/stocks-savaged-bars-deserted-prisons-uproar-coronavirus-spreads
SINGAPORE,SGP,GOV,LAB,-3.93258426966292,202003,1,https://www.republicworld.com/world-news/global-event-news/singapore-health-min-on-coronavirus.html
SINGAPORE,SGP,GOV,LAB,-5.17799352750809,202003,1,https://www.business-standard.com/article/pti-stories/transmitted-coronavirus-cases-in-singapore-result-of-socially-irresponsible-action-minister-120031000711_1.html
HEALTH OFFICIAL,CHN,GOV,,-2.84237726098191,202003,1,https://www.berkeleyside.com/2020/03/10/opinion-air-five-and-elbow-bump-what-the-coronavirus-outbreak-has-taught-us
THE WHITE HOUSE,USA,GOV,,-1.25964851417663,202003,7,https://www.nbcnews.com/health/health-news/live-blog/coronavirus-updates-live-u-s-europe-brace-infection-spread-italy-n1153801/ncrd1154496
HEALTH OFFICIAL,USA,GOV,,-4.95049504950495,202003,1,https://www.theglobeandmail.com/opinion/article-even-the-stable-genius-donald-trump-cant-bully-a-deadly-virus/
RED CROSS,USA,GOV,,4.41640378548896,202003,1,https://www.wmtw.com/article/larry-lord-honored-as-real-hero-by-american-red-cross/31345493
WORLD HEALTH ORGANIZATION,USA,GOV,,-2.23546944858421,202003,1,https://www.theepochtimes.com/sec-becomes-first-federal-agency-to-ask-staff-to-work-from-home-amid-epidemic_3266520.html
HEALTH DEPARTMENT,USA,GOV,HLH,-3.44827586206896,202003,1,https://www.wdtv.com/content/news/Monongalia-County-health-officials-prepared-for-potential-Coronavirus-cases-568641951.html
GLAXOSMITHKLINE,ISR,MNC,HLH,0,202003,1,https://www.openpr.com/news/1956344/multiple-ion-beam-microscopes-market-economic-forecasting
HEALTH OFFICIAL,USA,GOV,,-0.30581039755352,202003,1,https://www.14news.com/2020/03/05/henderson-holding-community-conversation-coronavirus/
AUSTIN,CHN,GOV,HLH,-3.125,202003,1,https://www.hypebot.com/hypebot/2020/03/apple-netflix-join-companies-pulling-out-of-sxsw-2020-over-coronavirus-concerns.html
IRAN,FRA,GOV,,0.56603773584905,202003,1,http://www.china.org.cn/world/2020-03/05/content_75776048.htm
IRAN,FRA,GOV,,0.56603773584905,202003,1,http://www.china.org.cn/world/2020-03/05/content_75776048.htm
IRAN,FRA,GOV,,0.56603773584905,202003,1,http://www.china.org.cn/world/2020-03/05/content_75776048.htm
HEALTH OFFICIAL,USA,GOV,,-4.00835073068894,202003,1,https://www.bangkokpost.com/world/1872179/virus-update-china-deaths-top-3-000-california-declares-emergency
HEALTH OFFICIAL,USA,GOV,,-4.00835073068894,202003,1,https://www.bangkokpost.com/world/1872179/virus-update-china-deaths-top-3-000-california-declares-emergency
